country_code,region,year,value,indicator_code,indicator_name
ARG,Americas,2023,39.0,MDG_0000000020,Tuberculosis Incidence
EGY,Eastern Mediterranean,2019,11.0,MDG_0000000020,Tuberculosis Incidence
FRA,Europe,2018,8.8,MDG_0000000020,Tuberculosis Incidence
BEL,Europe,2009,10.0,MDG_0000000020,Tuberculosis Incidence
ISL,Europe,2019,3.6,MDG_0000000020,Tuberculosis Incidence
KOR,Western Pacific,2022,40.0,MDG_0000000020,Tuberculosis Incidence
GHA,Africa,2006,199.0,MDG_0000000020,Tuberculosis Incidence
SLE,Africa,2011,484.0,MDG_0000000020,Tuberculosis Incidence
FSM,Western Pacific,2007,347.0,MDG_0000000020,Tuberculosis Incidence
ZMB,Africa,2024,272.0,MDG_0000000020,Tuberculosis Incidence
MDA,Europe,2003,106.0,MDG_0000000020,Tuberculosis Incidence
LVA,Europe,2024,21.0,MDG_0000000020,Tuberculosis Incidence
OMN,Eastern Mediterranean,2015,12.0,MDG_0000000020,Tuberculosis Incidence
LAO,Western Pacific,2015,182.0,MDG_0000000020,Tuberculosis Incidence
NGA,Africa,2005,219.0,MDG_0000000020,Tuberculosis Incidence
IND,South-East Asia,2021,196.0,MDG_0000000020,Tuberculosis Incidence
TUN,Eastern Mediterranean,2000,57.0,MDG_0000000020,Tuberculosis Incidence
MLI,Africa,2014,64.0,MDG_0000000020,Tuberculosis Incidence
AFG,Eastern Mediterranean,2001,175.0,MDG_0000000020,Tuberculosis Incidence
ZWE,Africa,2007,527.0,MDG_0000000020,Tuberculosis Incidence
CIV,Africa,2020,118.0,MDG_0000000020,Tuberculosis Incidence
LSO,Africa,2001,923.0,MDG_0000000020,Tuberculosis Incidence
NRU,Western Pacific,2011,50.0,MDG_0000000020,Tuberculosis Incidence
ROU,Europe,2014,99.0,MDG_0000000020,Tuberculosis Incidence
YEM,Eastern Mediterranean,2010,45.0,MDG_0000000020,Tuberculosis Incidence
NZL,Western Pacific,2022,6.1,MDG_0000000020,Tuberculosis Incidence
PSE,Eastern Mediterranean,2010,1.3,MDG_0000000020,Tuberculosis Incidence
LKA,South-East Asia,2015,70.0,MDG_0000000020,Tuberculosis Incidence
RUS,Europe,2004,87.0,MDG_0000000020,Tuberculosis Incidence
ARG,Americas,2021,34.0,MDG_0000000020,Tuberculosis Incidence
JOR,Eastern Mediterranean,2016,6.1,MDG_0000000020,Tuberculosis Incidence
MDV,South-East Asia,2005,107.0,MDG_0000000020,Tuberculosis Incidence
COL,Americas,2001,64.0,MDG_0000000020,Tuberculosis Incidence
ZAF,Africa,2012,1160.0,MDG_0000000020,Tuberculosis Incidence
AFG,Eastern Mediterranean,2007,241.0,MDG_0000000020,Tuberculosis Incidence
MRT,Africa,2014,112.0,MDG_0000000020,Tuberculosis Incidence
BRN,Western Pacific,2024,65.0,MDG_0000000020,Tuberculosis Incidence
GUY,Americas,2002,173.0,MDG_0000000020,Tuberculosis Incidence
ZAF,Africa,2005,1210.0,MDG_0000000020,Tuberculosis Incidence
BRB,Americas,2021,0.35,MDG_0000000020,Tuberculosis Incidence
JAM,Americas,2003,9.5,MDG_0000000020,Tuberculosis Incidence
KAZ,Europe,2010,140.0,MDG_0000000020,Tuberculosis Incidence
VCT,Americas,2002,8.8,MDG_0000000020,Tuberculosis Incidence
GRD,Americas,2023,4.3,MDG_0000000020,Tuberculosis Incidence
EST,Europe,2018,14.0,MDG_0000000020,Tuberculosis Incidence
CMR,Africa,2017,189.0,MDG_0000000020,Tuberculosis Incidence
BLR,Europe,2006,97.0,MDG_0000000020,Tuberculosis Incidence
WSM,Western Pacific,2000,24.0,MDG_0000000020,Tuberculosis Incidence
